ARCH-41121-05		Design VI	Steil, Lucien	Architecture	2014-12-20	2015-05-08	$$1Spring
CAPP-40260-01		Information Security	Chapple, Michael	Computer Applications	2009-08-17	2009-12-18	Fall ENG$$1NA
FTT-30809-01		Story Structure	Garcia-Romero, Anne	Film, Television, and Theatre	2013-08-05	2013-12-20	Fall$$1NA
SOC-30806-01		Race and Ethnicity	Jones, Jennifer	Sociology	2014-12-20	2015-05-08	$$1Spring
POLS-43001-02		Causes of War	Lindley, Dan	Political Science	2014-07-28	2014-12-19	Fall$$1NA
THEO-88101-01		CJA & MT Methods Seminar	Anderson, Gary	Theology	2013-08-05	2013-12-20	Fall$$1NA
THEO-60638-01		Restorative Justice	Pfeil, Margaret	Theology	2012-12-17	2013-05-10	Spring$$1NA
THEO-40624-01		Restorative Justice	Pfeil, Margaret	Theology	2012-12-17	2013-05-10	Spring$$1NA
CLAS-30110-01		Democracy and the Greeks	Baron, Christopher	Classics	2011-12-19	2012-05-11	Spring$$1NA
CLAS-63019-01		Greek History Seminar	Baron, Christopher	Classics	2013-08-05	2013-12-20	Fall$$1NA
ANTH-35210-01		Health, Healing, and Culture	Singh, Holly	Anthropology	2013-12-23	2014-05-09	Spring$$1NA
IIPS-50703-01		Restorative Justice	Pfeil, Margaret	Theology	2012-12-17	2013-05-10	Spring$$1NA
MUS-20112-01		Music History II	Frandsen, Mary	Music	2014-12-20	2015-05-08	$$1Spring
LAW-70430-01		Restorative Justice	Pfeil, Margaret	Theology	2012-12-17	2013-05-10	Spring$$1NA
MUS-20146-01		Music and Globalization in Asia	Ng, Stephanie	Music	2010-01-06	2010-05-07	Spring ENG$$1NA
POLS-30496-01		Brokering and Building Peace	Daly, Sarah	Political Science	2013-08-05	2013-12-20	Fall$$1NA
THEO-20255-01		Christ, Nature and the Ends of the World	Young, Robin	Theology	2012-12-17	2013-05-10	Spring$$1NA
FTT 10101-01		Basics of Film and Television	Becker, Christine	Film, Television and Theater	2013-08-05	2013-12-20	Fall$$1NA
PHIL-43173-01		Nietzsche	Ameriks, Karl	Philosophy	2010-01-04	2010-05-07	Spring ENG$$1NA
ARHI-30481-01		Art After Video	Gopinath, Gabrielle	Art History	2011-01-03	2011-05-13	Spring$$1NA
THEO-60635-01		Environmental Ethics	Deane-Drummond, Celia	Theology	2014-07-28	2014-12-19	Fall$$1NA
ARCH-41121-04		Design VI	Krusche, Krupali	Architecture	2011-01-18	2011-05-09	Spring$$1NA
